Frequency Band,dB Value
/meters,b'2\x00\x00\x00\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\xa8\x80\x00\x80T\x81\xac\x83H\x84\xfe\x85\xe2\x86\x00\x80\x00\x80\xf4\x84\xbc\x88\xb6\x8b\xe2\x8f\xe0\x96\xf0\x9c\x06\xa2T\xa5\xb8\xa7\xac\xa9\xfa\xb6*\xc2~\xc0\xea\xb8>\xbb\xa4\xba\xb2\xb8\x16\xbf\xec\xbdn\xb1\xc8\xb4H\xc5B\xc3h\xbb6\xbd@\xb5\x1c\xb7\xa0\xbe\xfa\xc0R\xbc\xfc\xc1P\xb6\xf6\xb7\x10\xb7J\xb8@\xb3t\xb4J\xb7\x08\xb7F\xb4\x84\xbaF\xab\xa2\xb4\xb0\xacZ\xaeB\xa9j\xaa\xe2\xb0\n\xafF\xae&\xab\xfe\xa8\x18\xb50\xb5\x9e\xb5\xb8\xbaR\xbdv\xb9\xc2\xb3|\xba2\xbej\xb8\x10\xba\x1a\xbc\xc0\xb9\xe0\xb1\x98\xb3\xf2\xac\xa8\xab\xec\xaeL\xa5d\xa8\xc2\xa2T\x9ez\x9a\x0c\x94\x04\x8e\x14\x90'
Band 1,0.1953125
Band 2,0.0
Band 3,-128.0
Band 4,-128.0
Band 5,-128.0
Band 6,-128.0
Band 7,-128.0
Band 8,-128.0
Band 9,-128.0
Band 10,-128.0
Band 11,-128.0
Band 12,-128.0
Band 13,-128.0
Band 14,-128.0
Band 15,-128.0
Band 16,-128.0
Band 17,-128.0
Band 18,-128.0
Band 19,-126.3203125
Band 20,-125.7109375
Band 21,-124.0
Band 22,-123.109375
Band 23,-128.0
Band 24,-126.7578125
Band 25,-125.0390625
Band 26,-121.2578125
Band 27,-114.921875
Band 28,-114.109375
Band 29,-107.1171875
Band 30,-101.0546875
Band 31,-95.96875
Band 32,-92.65625
Band 33,-88.1796875
Band 34,-81.734375
Band 35,-75.015625
Band 36,-63.8203125
Band 37,-65.5
Band 38,-73.078125
Band 39,-70.75
Band 40,-71.3515625
Band 41,-73.296875
Band 42,-66.90625
Band 43,-68.0703125
Band 44,-80.5625
Band 45,-77.2109375
Band 46,-60.7109375
Band 47,-62.734375
Band 48,-70.578125
Band 49,-59.9921875
Band 50,-63.5546875
Band 51,-74.8828125
Band 52,-67.3671875
Band 53,-65.015625
Band 54,-66.4921875
Band 55,-56.3203125
Band 56,-75.6796875
Band 57,-74.0234375
Band 58,-72.671875
Band 59,-63.25
Band 60,-77.3984375
Band 61,-72.109375
Band 62,-61.640625
Band 63,-74.953125
Band 64,-74.2265625
Band 65,-71.4765625
Band 66,-86.71875
Band 67,-77.359375
Band 68,-85.3046875
Band 69,-83.640625
Band 70,-88.734375
Band 71,-87.578125
Band 72,-81.109375
Band 73,-82.953125
Band 74,-83.71875
Band 75,-81.4921875
Band 76,-72.484375
Band 77,-75.0234375
Band 78,-76.8046875
Band 79,-76.3359375
Band 80,-71.2734375
Band 81,-68.671875
Band 82,-70.609375
Band 83,-78.234375
Band 84,-71.5078125
Band 85,-67.796875
Band 86,-73.578125
Band 87,-71.9296875
Band 88,-69.890625
Band 89,-72.2421875
Band 90,-80.1171875
Band 91,-78.3984375
Band 92,-85.046875
Band 93,-86.3359375
Band 94,-83.0703125
Band 95,-92.6953125
Band 96,-89.6015625
Band 97,-95.234375
Band 98,-99.6640625
Band 99,-103.515625
Band 100,-109.4453125
Band 101,-111.7890625
Band 102,-108.953125
/meters,b'2\x00\x00\x00\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\xae\x81J\x82\x00\x84\xe4\x84\x00\x80>\x81\xf6\x82\xbe\x86\x14\x8d\xe4\x8d\xe2\x94\xf2\x9a\x08\xa0X\xa3\xd2\xa7D\xae\xfc\xb4.\xc0\x80\xbe\xec\xb6@\xb9\xa6\xb8\xb4\xb6\x18\xbd\xee\xbbp\xaf\xca\xb2J\xc3D\xc1l\xb9\x02\xc4r\xc0\x1e\xb5\xa2\xbc\xfc\xbe\x82\xbd\xae\xc7R\xb4\xfa\xb5T\xb7\xc0\xc0\x9a\xb2\xe4\xb7\\\xc2\x0c\xb5\xc6\xb5\x86\xb8H\xa9\xa4\xb2\xb2\xaa\\\xacD\xa7l\xa8\xe4\xae\x0c\xadH\xac\x82\xae\x84\xb7\xfa\xb42\xb3\xaa\xb3\xba\xb8T\xbbd\xb9\xc4\xb1~\xb84\xbcl\xb6\x12\xb8\x1c\xba\xc2\xb7\xe2\xaf\x9a\xb1\xf4\xaa\xaa\xa9\xee\xacN\xa3f\xa6\xc4\xa0V\x9c|\x98\x8e\x926\x90\x0c\x93'
Band 1,0.1953125
Band 2,0.0
Band 3,-128.0
Band 4,-128.0
Band 5,-128.0
Band 6,-128.0
Band 7,-128.0
Band 8,-128.0
Band 9,-128.0
Band 10,-128.0
Band 11,-128.0
Band 12,-128.0
Band 13,-128.0
Band 14,-128.0
Band 15,-128.0
Band 16,-128.0
Band 17,-128.0
Band 18,-128.0
Band 19,-127.515625
Band 20,-123.7421875
Band 21,-123.2890625
Band 22,-122.0234375
Band 23,-128.0
Band 24,-126.21875
Band 25,-126.2265625
Band 26,-117.8359375
Band 27,-112.234375
Band 28,-115.3046875
Band 29,-108.3046875
Band 30,-102.25
Band 31,-97.1640625
Band 32,-93.8515625
Band 33,-89.375
Band 34,-82.9296875
Band 35,-76.2109375
Band 36,-65.015625
Band 37,-66.6953125
Band 38,-74.2734375
Band 39,-69.421875
Band 40,-72.46875
